"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 02 01:12:26 EET 2023","Thu Feb 02 01:12:37 EET 2023","11192","chromium","task1.spec.ts","","","","should have clickable all menu items",""
"passed","Thu Feb 02 01:12:17 EET 2023","Thu Feb 02 01:12:26 EET 2023","8859","chromium","task1.spec.ts","","","","should have title ""Overview - Redmine""",""
"passed","Thu Feb 02 01:12:17 EET 2023","Thu Feb 02 01:12:27 EET 2023","9622","chromium","task1.spec.ts","","","","should go to Registration page after click on register link on top-menu",""
"passed","Thu Feb 02 01:10:52 EET 2023","Thu Feb 02 01:10:57 EET 2023","5106","","task1.spec.ts","","","","should have clickable all menu items",""
"passed","Thu Feb 02 01:12:17 EET 2023","Thu Feb 02 01:12:26 EET 2023","8961","chromium","task1.spec.ts","","","","should search topics by search feild",""
"passed","Thu Feb 02 01:10:38 EET 2023","Thu Feb 02 01:11:00 EET 2023","22064","","task1.spec.ts","","","","should Registration be filled required field with valid data",""
"passed","Thu Feb 02 01:12:29 EET 2023","Thu Feb 02 01:12:40 EET 2023","11106","firefox","task1.spec.ts","","","","should go to Registration page after click on register link on top-menu",""
"passed","Thu Feb 02 01:10:38 EET 2023","Thu Feb 02 01:10:52 EET 2023","13883","","task1.spec.ts","","","","should go to Registration page after click on register link on top-menu",""
"passed","Thu Feb 02 01:12:17 EET 2023","Thu Feb 02 01:12:30 EET 2023","12523","chromium","task1.spec.ts","","","","should Registration be filled required field with valid data",""
"passed","Thu Feb 02 01:12:28 EET 2023","Thu Feb 02 01:12:39 EET 2023","10116","firefox","task1.spec.ts","","","","should have title ""Overview - Redmine""",""
"passed","Thu Feb 02 01:12:39 EET 2023","Thu Feb 02 01:12:49 EET 2023","10454","firefox","task1.spec.ts","","","","should have clickable all menu items",""
"passed","Thu Feb 02 01:10:38 EET 2023","Thu Feb 02 01:10:55 EET 2023","17294","","task1.spec.ts","","","","should search topics by search feild",""
"passed","Thu Feb 02 01:12:33 EET 2023","Thu Feb 02 01:12:52 EET 2023","18634","firefox","task1.spec.ts","","","","should Registration be filled required field with valid data",""
"passed","Thu Feb 02 01:12:40 EET 2023","Thu Feb 02 01:12:51 EET 2023","10846","firefox","task1.spec.ts","","","","should search topics by search feild",""
"passed","Thu Feb 02 01:10:38 EET 2023","Thu Feb 02 01:10:52 EET 2023","13757","","task1.spec.ts","","","","should have title ""Overview - Redmine""",""
